,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
360,marfino,0,RU,1566852778,72,56.07,37.56,68.0,6.71
361,callaguip,0,PH,1566852778,77,18.07,120.49,83.89,22.32
362,howard springs,0,AU,1566852778,88,-12.5,131.05,69.01,3.36
363,marion,53,US,1566852486,66,35.21,-90.2,89.01,7.85
364,vuktyl,67,RU,1566852603,78,63.86,57.31,38.53,6.6
365,mapiripan,18,CO,1566852779,78,2.89,-72.13,83.89,1.9
366,obidos,0,PT,1566852779,77,39.36,-9.16,71.01,13.87
367,arraial do cabo,40,BR,1566852779,64,-22.97,-42.02,71.6,10.29
368,hofn,100,IS,1566852779,99,64.25,-15.21,37.09,16.33
369,leland,90,US,1566852779,83,41.61,-88.8,77.0,10.29
370,qasigiannguit,20,GL,1566852780,52,68.82,-51.19,44.6,4.7
371,miraflores,0,PE,1566852505,7,-16.39,-71.52,71.6,11.41
372,don benito,67,ES,1566852780,74,38.95,-5.86,70.0,1.99
373,carleton place,20,CA,1566852780,36,45.14,-76.15,81.0,6.93
374,caravelas,9,BR,1566852780,79,-17.73,-39.27,71.83,11.21
375,prince rupert,90,CA,1566852579,93,54.32,-130.32,57.2,8.05
376,marawi,100,PH,1566852781,94,8.0,124.29,75.0,4.38
377,inhambane,0,MZ,1566852781,85,-23.87,35.38,64.63,6.17
378,canton,1,US,1566852781,46,40.8,-81.38,75.2,6.93
379,grindavik,90,IS,1566852781,100,63.84,-22.43,51.8,20.8
380,bereznik,76,RU,1566852782,98,62.86,42.71,49.87,6.42
381,berlevag,75,NO,1566852782,93,70.86,29.09,50.0,10.29
382,kirakira,100,SB,1566852783,86,-10.46,161.92,78.13,9.19
383,bambanglipuro,100,ID,1566852783,87,-7.95,110.28,73.99,8.72
384,omboue,97,GA,1566852783,91,-1.57,9.26,72.91,11.86
385,sisimiut,81,GL,1566852650,84,66.94,-53.67,44.47,2.01
386,cartagena,75,ES,1566852783,78,37.63,-1.0,78.8,4.7
387,paamiut,100,GL,1566852554,87,61.99,-49.67,41.95,21.07
388,susurluk,0,TR,1566852784,57,39.91,28.16,80.6,13.87
389,lyuban,0,BY,1566852784,80,52.8,28.0,61.75,4.21
390,westport,1,US,1566852544,17,41.14,-73.36,75.99,9.17
391,kitimat,90,CA,1566852784,87,54.02,-128.69,57.99,3.36
392,vao,99,EE,1566852784,92,59.1,26.19,59.41,7.45
393,clyde river,75,CA,1566852785,87,70.47,-68.59,42.8,14.99
394,cabedelo,75,BR,1566852785,74,-6.97,-34.84,78.8,13.87
395,havelock,75,US,1566852631,58,34.88,-76.9,84.99,8.05
396,oranjestad,40,AW,1566852785,66,12.52,-70.03,87.8,23.04
397,luanda,5,AO,1566852786,83,-8.83,13.24,73.4,3.36
398,barkhan,2,PK,1566852786,37,29.9,69.52,79.75,1.45
399,talnakh,75,RU,1566852786,100,69.49,88.39,48.2,11.18
400,muncar,58,ID,1566852786,96,-8.43,114.34,66.07,1.9
401,alofi,90,NU,1566852787,83,-19.06,-169.92,73.4,16.11
402,luderitz,0,NA,1566852633,67,-26.65,15.16,59.0,17.22
403,puerto escondido,75,MX,1566852555,74,15.86,-97.07,87.8,5.82
404,batagay-alyta,3,RU,1566852787,87,67.8,130.41,43.39,1.48
405,kenda,40,DZ,1566852787,44,35.66,5.57,82.4,4.7
406,kondinskoye,100,RU,1566852787,92,59.65,67.41,47.17,17.74
407,loikaw,97,MM,1566852788,98,19.67,97.21,63.37,2.51
408,bulancak,75,TR,1566852766,88,40.94,38.23,75.2,4.09
409,torzhok,100,RU,1566852788,80,57.04,34.97,61.21,8.41
410,salgar,40,CO,1566852788,28,5.96,-75.98,86.0,13.87
411,anuradhapura,67,LK,1566852789,81,8.34,80.41,78.67,11.83
412,dongning,98,CN,1566852789,96,44.06,131.12,56.71,0.76
413,krikellos,0,GR,1566852789,61,38.95,21.18,78.8,4.21
414,esso,100,RU,1566852789,94,55.93,158.7,44.47,3.85
415,sumbawanga,0,TZ,1566852790,48,-7.95,31.62,62.47,7.76
416,neiafu,75,TO,1566852790,69,-18.65,-173.98,73.4,6.93
417,badou,100,TG,1566852790,92,7.58,0.61,72.19,2.46
418,vodnyy,100,RU,1566852790,81,63.51,53.41,45.55,6.62
419,flinders,75,AU,1566852585,87,-34.58,150.85,57.0,8.05
420,naze,75,NG,1566852790,100,5.43,7.07,73.4,4.43
421,auki,96,NG,1566852791,83,12.18,6.51,75.07,4.07
422,saint anthony,1,US,1566852791,21,43.97,-111.68,73.0,4.7
423,natal,75,BR,1566852791,69,-5.81,-35.21,78.8,14.99
424,tomatlan,57,MX,1566852791,75,19.93,-105.25,84.25,6.11
425,kholm,5,AF,1566852792,14,36.69,67.7,87.8,10.29
426,portsmouth,0,GB,1566852538,64,50.8,-1.08,71.6,1.12
427,jodar,0,ES,1566852792,73,37.84,-3.35,73.0,5.01
428,kalaleh,0,IR,1566852792,60,37.38,55.49,77.0,4.7
429,karachi,20,PK,1566852792,74,24.87,67.03,82.4,13.87
430,beipiao,0,CN,1566852793,75,41.8,120.76,59.59,3.18
431,alpena,20,US,1566852525,56,45.06,-83.43,75.2,21.92
432,japura,63,ID,1566852793,98,-0.42,102.29,72.01,2.95
433,rangapara,0,IN,1566852793,84,26.82,92.69,73.81,2.91
434,znamenskoye,100,RU,1566852794,99,57.13,73.82,54.37,3.36
435,buala,100,SB,1566852794,82,-8.15,159.59,79.57,7.56
436,maldonado,97,UY,1566852794,93,-34.91,-54.96,56.17,5.95
437,san francisco de becerra,2,HN,1566852794,41,14.63,-86.1,87.67,7.65
438,hovd,0,NO,1566852794,82,63.83,10.7,68.0,4.7
439,mtwara,16,TZ,1566852795,99,-10.28,40.18,65.71,3.56
440,taoudenni,0,ML,1566852723,26,22.68,-3.98,98.11,13.04
441,sorland,75,NO,1566852795,93,67.67,12.69,57.2,9.17
442,marienburg,0,DE,1566852795,50,52.12,9.98,82.4,4.7
443,uribia,0,CO,1566852796,43,11.71,-72.27,92.89,17.31
444,comodoro rivadavia,20,AR,1566852716,22,-45.87,-67.48,53.6,29.97
445,raudeberg,0,NO,1566852796,63,61.99,5.14,73.4,14.99
446,banjar,93,ID,1566852796,95,-7.37,108.54,69.85,1.01
447,erzin,40,TR,1566852796,83,36.95,36.2,82.0,2.24
448,high level,75,CA,1566852797,63,58.52,-117.13,60.8,5.82
449,hattiesburg,75,US,1566852797,88,31.33,-89.29,84.99,6.93
450,tommerup,0,DK,1566852797,82,55.32,10.21,69.8,6.93
451,zvishavane,0,ZW,1566852797,34,-20.32,30.05,65.35,2.01
452,san policarpo,100,PH,1566852798,91,12.18,125.51,73.63,20.96
453,cap-aux-meules,75,CA,1566852618,72,47.38,-61.86,66.2,3.36
454,coihaique,40,CL,1566852798,52,-45.58,-72.07,46.4,10.29
455,lagoa,0,PT,1566852798,83,37.14,-8.45,69.8,10.29
456,mount isa,13,AU,1566852798,33,-20.73,139.49,57.2,16.11
457,kodinsk,70,RU,1566852799,94,58.6,99.18,43.75,2.62
